feature_set,criterion,max_depth,min_samples_leaf,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
border_asymmetry_color_no_ita_fst,gini,6.0,20,0.6780458999583251,0.03308609830302747,0.6363095238095239,0.032351614861193305
border_asymmetry_color_no_ita_fst,gini,8.0,1,0.6343909926494071,0.022570851348526547,0.6273809523809524,0.01789678140282487
border_asymmetry_color_no_ita_fst,gini,8.0,2,0.6425187364774537,0.03581955560199407,0.6226190476190476,0.024426529200813323
border_asymmetry_color_no_ita_fst,gini,8.0,5,0.656258843837704,0.0320544008008071,0.6255952380952381,0.023237168209456108
border_asymmetry_color_no_ita_fst,gini,8.0,10,0.6691138072896192,0.026880229438864374,0.6363095238095238,0.019416079083690554
border_asymmetry_color_no_ita_fst,gini,8.0,20,0.670640715007613,0.04177471865986551,0.6380952380952382,0.030034466217959244
border_asymmetry_color_no_ita_fst,gini,10.0,1,0.620069723617813,0.025525387397334214,0.6130952380952381,0.01586061023151692
border_asymmetry_color_no_ita_fst,gini,10.0,2,0.6241582709525602,0.039204209169964505,0.6113095238095239,0.025435548356216062
border_asymmetry_color_no_ita_fst,gini,10.0,5,0.6423378933223599,0.03485927160436398,0.6125,0.027753674349701832
border_asymmetry_color_no_ita_fst,gini,10.0,10,0.645884803898824,0.033811683071062755,0.6172619047619048,0.02429563289518874
border_asymmetry_color_no_ita_fst,gini,10.0,20,0.6673810232099904,0.04403560298771749,0.6285714285714287,0.046390399448568376
border_asymmetry_color_no_ita_fst,gini,,1,0.59398850228537,0.031128809013620275,0.5940476190476189,0.031078041624301476
border_asymmetry_color_no_ita_fst,gini,,2,0.6156440396036411,0.044524547480691165,0.6035714285714285,0.043145524462905045
border_asymmetry_color_no_ita_fst,gini,,5,0.6358328501592798,0.03390178842782667,0.6077380952380953,0.028134053090705876
border_asymmetry_color_no_ita_fst,gini,,10,0.6394187095508697,0.03453050876988009,0.6095238095238096,0.02048172682629198
border_asymmetry_color_no_ita_fst,gini,,20,0.6661302469277522,0.04085745561457927,0.6214285714285713,0.04034467429245366
border_asymmetry_color_no_ita_fst,entropy,2.0,1,0.6656520749709373,0.02645957443762063,0.6571428571428571,0.025211688791127815
border_asymmetry_color_no_ita_fst,entropy,2.0,2,0.6656520749709373,0.02645957443762063,0.6571428571428571,0.025211688791127815
border_asymmetry_color_no_ita_fst,entropy,2.0,5,0.6656520749709373,0.02645957443762063,0.6571428571428571,0.025211688791127815
border_asymmetry_color_no_ita_fst,entropy,2.0,10,0.6656520749709373,0.02645957443762063,0.6571428571428571,0.025211688791127815
border_asymmetry_color_no_ita_fst,entropy,2.0,20,0.6656520749709373,0.02645957443762063,0.6571428571428571,0.025211688791127815
border_asymmetry_color_no_ita_fst,entropy,3.0,1,0.6719056533312637,0.020605857455712504,0.6547619047619048,0.02601401593263351
border_asymmetry_color_no_ita_fst,entropy,3.0,2,0.6719056533312637,0.020605857455712504,0.6547619047619048,0.02601401593263351
border_asymmetry_color_no_ita_fst,entropy,3.0,5,0.6721076091135766,0.020595376167679928,0.6547619047619048,0.02601401593263351
border_asymmetry_color_no_ita_fst,entropy,3.0,10,0.6721076091135766,0.020595376167679928,0.6547619047619048,0.02601401593263351
border_asymmetry_color_no_ita_fst,entropy,3.0,20,0.6730004677629002,0.021028731377961424,0.6547619047619048,0.02601401593263351
border_asymmetry_color_no_ita_fst,entropy,4.0,1,0.6783009770169037,0.023173888158955366,0.6523809523809525,0.020481726826291978
border_asymmetry_color_no_ita_fst,entropy,4.0,2,0.6795020824590805,0.02399247916792769,0.6529761904761904,0.020499018283003063
border_asymmetry_color_no_ita_fst,entropy,4.0,5,0.6787722191018277,0.028346868341299725,0.6529761904761905,0.02279070204651982
border_asymmetry_color_no_ita_fst,entropy,4.0,10,0.6757959015802876,0.026462430806292236,0.6547619047619048,0.024900596027799874
border_asymmetry_color_no_ita_fst,entropy,4.0,20,0.6791336283477002,0.029798429165749464,0.6434523809523809,0.02230356427999429
border_asymmetry_color_no_ita_fst,entropy,5.0,1,0.6640577006484957,0.014252431469864652,0.6357142857142857,0.01647422917035481
border_asymmetry_color_no_ita_fst,entropy,5.0,2,0.6674804115905772,0.01888056111373369,0.6357142857142857,0.01603832569679461
border_asymmetry_color_no_ita_fst,entropy,5.0,5,0.6716825920774481,0.01611960547251996,0.6375,0.02048172682629198
