criterion,max_depth,min_samples_leaf,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
gini,10.0,2,0.6310354258023823,0.033333739575789764,0.6089285714285715,0.026459655679634358
gini,10.0,5,0.6391207018348684,0.03326118361248447,0.6214285714285716,0.026976831413392043
gini,10.0,10,0.6469122406075423,0.02633825272500944,0.6220238095238095,0.02137891070960475
gini,10.0,20,0.6666546139295695,0.03238230421249021,0.6279761904761905,0.025323865935931708
gini,,1,0.5952393606700378,0.020143770544128272,0.5952380952380952,0.02018550590215856
gini,,2,0.6054114450776826,0.032515318427185164,0.5934523809523811,0.02919702016293029
gini,,5,0.6289731634173589,0.03330863062900272,0.6005952380952381,0.02788104387769136
gini,,10,0.6424161093192192,0.029606563129118708,0.6119047619047618,0.023555189211201637
gini,,20,0.6623674098488207,0.028150590484628535,0.618452380952381,0.025491206077814105
entropy,2.0,1,0.6656520749709373,0.02645957443762063,0.6571428571428571,0.025211688791127815
entropy,2.0,2,0.6656520749709373,0.02645957443762063,0.6571428571428571,0.025211688791127815
entropy,2.0,5,0.6656520749709373,0.02645957443762063,0.6571428571428571,0.025211688791127815
entropy,2.0,10,0.6656520749709373,0.02645957443762063,0.6571428571428571,0.025211688791127815
entropy,2.0,20,0.6656520749709373,0.02645957443762063,0.6571428571428571,0.025211688791127815
entropy,3.0,1,0.6707222607978102,0.020975829373841973,0.6547619047619048,0.02601401593263351
entropy,3.0,2,0.6707222607978102,0.020975829373841973,0.6547619047619048,0.02601401593263351
entropy,3.0,5,0.6709242165801232,0.020928015567529927,0.6547619047619048,0.02601401593263351
entropy,3.0,10,0.6709242165801232,0.020928015567529927,0.6547619047619048,0.02601401593263351
entropy,3.0,20,0.6719021122559855,0.021250136301559936,0.6547619047619048,0.02601401593263351
entropy,4.0,1,0.6780352566462696,0.024602880449091005,0.6535714285714286,0.020585257697369748
entropy,4.0,2,0.6782478416802832,0.02480233196980473,0.6535714285714286,0.020585257697369748
entropy,4.0,5,0.6761219524230933,0.031140400552501966,0.6517857142857143,0.024324781835360174
entropy,4.0,10,0.6728799199290909,0.029008667638079005,0.6535714285714286,0.025850060417391036
entropy,4.0,20,0.67797857697036,0.03038382400820252,0.6440476190476191,0.021999665014971827
entropy,5.0,1,0.6603799479242618,0.020433206088852282,0.6303571428571428,0.01819131760706683
entropy,5.0,2,0.66315426685473,0.023630927853444065,0.6303571428571428,0.01923273145405181
