feature_set,criterion,max_depth,min_samples_leaf,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
border_asymmetry,entropy,5.0,20,0.648733704726561,0.006191809569296483,0.6107142857142858,0.013494981010422185
border_asymmetry,entropy,6.0,1,0.6408678950164317,0.007282050821059538,0.6,0.009144221128415002
border_asymmetry,entropy,6.0,2,0.6404427377533706,0.005191574172327758,0.5982142857142857,0.00776095524428884
border_asymmetry,entropy,6.0,5,0.636247705073892,0.01613827969329262,0.5910714285714287,0.018307805356225827
border_asymmetry,entropy,6.0,10,0.6447228793931681,0.01863317803458553,0.6017857142857143,0.02361527907723496
border_asymmetry,entropy,6.0,20,0.6386001787081153,0.017113838048516895,0.5958333333333333,0.00738671050356596
border_asymmetry,entropy,8.0,1,0.6274748067564906,0.005920610176494842,0.5952380952380952,0.00776095524428884
border_asymmetry,entropy,8.0,2,0.6174619714351034,0.009280728586220914,0.5833333333333334,0.009780759955449407
border_asymmetry,entropy,8.0,5,0.616083710919143,0.012827628194593143,0.5839285714285715,0.004374088826398517
border_asymmetry,entropy,8.0,10,0.6361022209495593,0.012235943397388935,0.6077380952380953,0.009671474291233302
border_asymmetry,entropy,8.0,20,0.6406763412604409,0.01603421078466385,0.5964285714285714,0.01791656778963383
border_asymmetry,entropy,10.0,1,0.5964508059967896,0.02679096670677169,0.5809523809523809,0.018288442256830007
border_asymmetry,entropy,10.0,2,0.6086607097412067,0.013846865124134416,0.5851190476190476,0.012849424491025534
border_asymmetry,entropy,10.0,5,0.6024850006393445,0.017461215933040505,0.569047619047619,0.01828844225683002
border_asymmetry,entropy,10.0,10,0.6185919347454107,0.023717766603211492,0.5898809523809524,0.027497165386788317
border_asymmetry,entropy,10.0,20,0.6270637594362055,0.010905696060694166,0.5821428571428571,0.009144221128415017
border_asymmetry,entropy,,1,0.5410575510011254,0.02431046410902346,0.5410714285714285,0.024353895887474733
border_asymmetry,entropy,,2,0.5594784896103618,0.01931805374669292,0.5458333333333333,0.019342948582466584
border_asymmetry,entropy,,5,0.5859668347963736,0.023763338109405025,0.5494047619047618,0.02041241452319316
border_asymmetry,entropy,,10,0.6010781123620006,0.024466275848799096,0.5767857142857142,0.014384578539993524
border_asymmetry,entropy,,20,0.6261993145044692,0.006541404094922066,0.5827380952380953,0.005771047449305165
